id,product_name,price
1,Scratcher,-25.55
2,,43.33
3,Laser Pointer,19.32
4,Tuna Can,19.38
5,Catnip,16.79
6,Tuna Can,36.56
7,Scratcher,36.36
8,Catnip,37.05
9,Scratcher,11.18
10,Tuna Can,47.94
11,Mouse Toy,49.87
12,Tuna Can,16.86
13,Mouse Toy,39.27
14,Wool Ball,41.45
15,Laser Pointer,10.1
16,Mouse Toy,24.28
17,Laser Pointer,25.67
18,,7.53
19,Laser Pointer,5.95
20,Laser Pointer,-23.33
21,Tuna Can,22.1
22,Mouse Toy,24.54
23,Mouse Toy,11.19
24,Catnip,38.68
25,Mouse Toy,7.65
26,,11.47
27,Wool Ball,13.36
28,Tuna Can,43.55
29,Laser Pointer,43.32
30,Scratcher,38.99
31,Mouse Toy,-5.5
32,Catnip,28.54
33,Tuna Can,26.69
34,Scratcher,16.54
35,Laser Pointer,7.73
36,Catnip,34.46
37,Tuna Can,47.55
38,Wool Ball,24.42
39,Mouse Toy,36.79
40,,48.19
41,Scratcher,49.09
42,Laser Pointer,16.8
43,Mouse Toy,15.01
44,Laser Pointer,45.26
45,Wool Ball,43.03
46,Wool Ball,41.75
47,Wool Ball,49.7
48,Scratcher,5.69
49,Catnip,43.44
50,Tuna Can,36.31
51,Wool Ball,20.05
52,Catnip,22.62
53,Laser Pointer,30.71
54,,17.81
55,Laser Pointer,25.4
56,Tuna Can,20.82
57,Tuna Can,25.12
58,Mouse Toy,35.6
59,Wool Ball,36.14
60,,19.14
61,Scratcher,46.39
62,Scratcher,35.74
63,Laser Pointer,5.97
64,Catnip,41.38
65,,28.56
66,Scratcher,-46.97
67,Tuna Can,18.31
68,,32.39
69,,32.55
70,Catnip,31.09
71,Catnip,49.11
72,Scratcher,18.11
73,Wool Ball,22.89
74,Mouse Toy,30.52
75,Wool Ball,32.97
76,Catnip,49.51
77,Laser Pointer,39.36
78,Catnip,25.29
79,Scratcher,-36.41
80,Tuna Can,35.16
81,,32.62
82,Catnip,27.86
83,Catnip,37.69
84,,34.87
85,,24.57
86,Tuna Can,45.13
87,Tuna Can,15.96
88,Mouse Toy,46.47
89,Scratcher,13.12
90,Tuna Can,-18.31
91,Laser Pointer,43.58
92,Wool Ball,-46.91
93,Catnip,10.74
94,Tuna Can,25.76
95,Catnip,45.02
96,Tuna Can,20.01
97,,23.74
98,,21.96
99,,18.31
100,,30.63
101,Mouse Toy,0
102,Wool Ball,14.0
103,Wool Ball,36.89
104,Laser Pointer,-47.73
105,Wool Ball,8.42
106,Mouse Toy,44.42
107,Scratcher,39.04
108,Mouse Toy,45.12
109,Tuna Can,38.88
110,Scratcher,0
111,Wool Ball,45.74
112,Tuna Can,47.94
113,Catnip,0
114,Scratcher,28.39
115,,34.98
116,Tuna Can,8.29
117,Mouse Toy,30.95
118,Scratcher,27.43
119,Scratcher,40.03
120,Tuna Can,24.57
121,Wool Ball,44.51
122,Catnip,15.32
123,Wool Ball,30.43
124,Catnip,6.61
125,Tuna Can,33.59
126,,21.65
127,Laser Pointer,5.99
128,Laser Pointer,26.78
129,Scratcher,10.27
130,Catnip,24.4
131,Tuna Can,33.27
132,Tuna Can,41.81
133,Scratcher,32.99
134,Wool Ball,38.2
135,Wool Ball,26.52
136,Laser Pointer,36.98
137,Scratcher,16.56
138,Tuna Can,-16.71
139,Scratcher,40.71
140,Scratcher,47.36
141,Wool Ball,-34.58
142,Laser Pointer,-42.21
143,Tuna Can,47.98
144,Scratcher,28.82
145,Scratcher,41.22
146,Tuna Can,38.24
147,Wool Ball,40.71
148,Laser Pointer,6.01
149,Tuna Can,40.11
150,Tuna Can,39.91
