id,product_name,price
1,Wool Ball,20.61
2,Catnip,33.42
3,Tuna Can,7.06
4,Catnip,34.26
5,Catnip,17.25
6,Mouse Toy,34.2
7,Wool Ball,9.66
8,Laser Pointer,28.62
9,Tuna Can,19.13
10,Wool Ball,45.91
11,Catnip,38.23
12,Catnip,25.53
13,Laser Pointer,29.15
14,Mouse Toy,13.3
15,Laser Pointer,5.11
16,Laser Pointer,45.92
17,Tuna Can,33.71
18,Laser Pointer,14.88
19,Catnip,21.63
20,Catnip,29.8
21,Catnip,27.68
22,Scratcher,29.46
23,Tuna Can,27.39
24,Wool Ball,37.02
25,Laser Pointer,18.05
26,Laser Pointer,18.06
27,Laser Pointer,9.09
28,Laser Pointer,28.01
29,Tuna Can,27.23
30,Tuna Can,19.7
31,Wool Ball,19.74
32,Catnip,41.11
33,Mouse Toy,16.7
34,Scratcher,16.67
35,Catnip,43.1
36,Tuna Can,14.05
37,Tuna Can,15.53
38,Laser Pointer,26.73
39,Scratcher,5.05
40,Mouse Toy,49.49
41,Scratcher,35.31
42,Mouse Toy,5.53
43,Wool Ball,10.6
44,Tuna Can,12.45
45,Scratcher,19.97
46,Wool Ball,13.08
47,Mouse Toy,8.93
48,Tuna Can,27.41
49,Laser Pointer,5.04
50,Catnip,14.44
51,Laser Pointer,27.45
52,Laser Pointer,15.26
53,Catnip,15.04
54,Wool Ball,15.27
55,Laser Pointer,29.48
56,Scratcher,23.89
57,Catnip,8.56
58,Laser Pointer,15.16
59,Wool Ball,34.1
60,Wool Ball,34.21
61,Scratcher,17.01
62,Scratcher,11.26
63,Wool Ball,45.94
64,Scratcher,37.21
65,Laser Pointer,28.05
66,Tuna Can,40.19
67,Mouse Toy,21.95
68,Mouse Toy,42.65
69,Laser Pointer,44.03
70,Mouse Toy,32.08
71,Tuna Can,28.32
72,Scratcher,23.02
73,Scratcher,23.67
74,Wool Ball,42.36
75,Tuna Can,34.05
76,Scratcher,28.84
77,Catnip,31.34
78,Laser Pointer,42.6
79,Mouse Toy,40.27
80,Tuna Can,48.31
81,Wool Ball,32.49
82,Tuna Can,40.17
83,Laser Pointer,46.56
84,Wool Ball,15.42
85,Wool Ball,8.53
86,Tuna Can,8.58
87,Mouse Toy,46.49
88,Laser Pointer,15.76
89,Mouse Toy,49.49
90,Laser Pointer,44.09
91,Tuna Can,42.33
92,Wool Ball,8.81
93,Mouse Toy,38.44
94,Scratcher,45.74
95,Mouse Toy,38.45
96,Mouse Toy,39.23
97,Wool Ball,30.4
98,Laser Pointer,36.53
99,Scratcher,5.5
100,Catnip,14.59
101,Scratcher,27.69
102,Catnip,38.62
103,Catnip,15.37
104,Laser Pointer,47.63
105,Scratcher,41.34
106,Catnip,6.76
107,Wool Ball,19.64
108,Mouse Toy,44.79
109,Wool Ball,31.19
110,Mouse Toy,32.68
111,Scratcher,5.17
112,Tuna Can,26.89
113,Mouse Toy,39.78
114,Catnip,28.66
115,Mouse Toy,47.76
116,Tuna Can,12.47
117,Scratcher,8.04
118,Mouse Toy,36.6
119,Scratcher,35.9
120,Scratcher,49.67
121,Laser Pointer,43.82
122,Mouse Toy,17.39
123,Scratcher,26.9
124,Wool Ball,42.22
125,Laser Pointer,24.69
126,Laser Pointer,28.78
127,Wool Ball,14.86
128,Tuna Can,32.75
129,Laser Pointer,35.55
130,Scratcher,23.06
131,Scratcher,8.64
132,Mouse Toy,49.37
133,Tuna Can,47.29
134,Scratcher,41.23
135,Wool Ball,49.63
136,Laser Pointer,14.37
137,Mouse Toy,18.95
138,Catnip,19.53
139,Laser Pointer,44.29
140,Catnip,20.54
141,Tuna Can,19.98
142,Scratcher,25.75
143,Mouse Toy,33.75
144,Scratcher,24.44
145,Tuna Can,26.51
146,Wool Ball,43.64
147,Tuna Can,37.57
148,Laser Pointer,34.38
149,Tuna Can,49.51
150,Scratcher,39.8
